# index, _pos
89,"array([-5.61693748, -6.62447983])"
90,"array([-5.5258784 , -6.52458544])"
91,"array([-5.58665849, -6.47703562])"
92,"array([-5.70634558, -6.54242009])"
93,"array([-5.81498728, -6.53752505])"
94,"array([-5.7599251 , -6.58616071])"
95,"array([-5.67583901, -6.56251823])"
96,"array([-5.61250385, -6.57784371])"
97,"array([-5.70152645, -6.55357757])"
98,"array([-5.56397072, -6.55766943])"
99,"array([-5.61124593, -6.5711725 ])"
100,"array([-5.68892055, -6.66260887])"
101,"array([-5.70517152, -6.6780464 ])"
102,"array([-5.63965863, -6.64635294])"
103,"array([-5.73060531, -6.63434054])"
104,"array([-5.60322957, -6.50671215])"
105,"array([-5.61714644, -6.52131589])"
106,"array([-5.58862736, -6.55416267])"
107,"array([-5.67730232, -6.54242996])"
108,"array([-5.54329252, -6.3653197 ])"
109,"array([-5.57081661, -6.49441466])"
110,"array([-5.68762066, -6.62413694])"
111,"array([-5.73084455, -6.59414945])"
112,"array([-5.58745616, -6.5163434 ])"
113,"array([-5.64644828, -6.52302537])"
114,"array([-5.61298077, -6.64778303])"
115,"array([-5.69181476, -6.60339156])"
116,"array([-5.67046594, -6.43073709])"
117,"array([-5.59611323, -6.50094888])"
118,"array([-5.70930645, -6.45027216])"
119,"array([-5.63005739, -6.5180885 ])"
120,"array([-5.67906648, -6.68471106])"
121,"array([-5.65863636, -6.59602141])"
122,"array([-5.72673073, -6.50637333])"
123,"array([-5.78115877, -6.54768761])"
124,"array([-5.63154496, -6.3686213 ])"
125,"array([-5.66742849, -6.53636614])"
126,"array([-5.68985879, -6.67874803])"
127,"array([-5.68594311, -6.67213762])"
128,"array([-5.61775781, -6.53710431])"
129,"array([-5.57396705, -6.52000281])"
130,"array([-5.53489102, -6.46662025])"
131,"array([-5.59700965, -6.46365423])"
132,"array([-5.60388418, -6.40462615])"
133,"array([-5.62755467, -6.52594984])"
134,"array([-5.42754214, -6.5535137 ])"
135,"array([-5.41018754, -6.57517572])"
136,"array([-5.6930182 , -6.65813911])"
137,"array([-5.69648444, -6.65578443])"
138,"array([-5.66759725, -6.53515496])"
139,"array([-5.71487351, -6.60511354])"
140,"array([-5.71471177, -6.66202209])"
141,"array([-5.68900766, -6.62676157])"
142,"array([-5.64652287, -6.55988014])"
143,"array([-5.69607528, -6.56990061])"
144,"array([-5.62328041, -6.54835984])"
145,"array([-5.66439111, -6.5104266 ])"
146,"array([-5.7471551 , -6.53653962])"
147,"array([-5.73479886, -6.60491024])"
148,"array([-5.53432948, -6.52623942])"
149,"array([-5.53780067, -6.49719886])"
150,"array([-5.61738214, -6.52537351])"
151,"array([-5.62048585, -6.47746996])"
152,"array([-5.73792373, -6.59552365])"
153,"array([-5.71337208, -6.61808043])"
154,"array([-5.67732876, -6.51031288])"
155,"array([-5.64502256, -6.53933861])"
156,"array([-5.53923928, -6.4464176 ])"
157,"array([-5.58318604, -6.57051286])"
158,"array([-5.50533873, -6.4485546 ])"
159,"array([-5.69602987, -6.54819531])"
160,"array([-5.55631066, -6.54511397])"
161,"array([-5.62350403, -6.58511481])"
162,"array([-5.55791894, -6.56347984])"
163,"array([-5.47674169, -6.50335023])"
164,"array([-5.63384014, -6.58588383])"
165,"array([-5.68909286, -6.54789306])"
166,"array([-5.71622744, -6.59722293])"
167,"array([-5.65852057, -6.58749382])"
168,"array([-5.66027967, -6.55704009])"
169,"array([-5.54661216, -6.49151999])"
170,"array([-5.50058315, -6.53912229])"
171,"array([-5.48217823, -6.49016529])"
172,"array([-5.55647929, -6.52418908])"
173,"array([-5.60852443, -6.60290535])"
174,"array([-5.71246199, -6.66639384])"
175,"array([-5.68114102, -6.70283804])"
176,"array([-5.76362652, -6.23394375])"
177,"array([-5.66648149, -6.46839478])"
178,"array([-5.56939882, -6.52025214])"
179,"array([-5.50517598, -6.48830972])"
180,"array([-5.63901514, -6.56209834])"
181,"array([-5.64959937, -6.53191698])"
182,"array([-5.61920569, -6.57780776])"
183,"array([-5.68360173, -6.58777862])"
184,"array([-5.68887553, -6.55351708])"
185,"array([-5.6285541 , -6.49814244])"
186,"array([-5.51485079, -6.54762333])"
187,"array([-5.52170533, -6.53462577])"
188,"array([-5.65393467, -6.63977452])"
189,"array([-5.71085985, -6.72973135])"
190,"array([-5.55936486, -6.58676498])"
191,"array([-5.50188898, -6.56435347])"
192,"array([-5.59001389, -6.57420814])"
193,"array([-5.48704257, -6.58013376])"
194,"array([-5.54788905, -6.54394037])"
195,"array([-5.76491212, -6.57631638])"
196,"array([-5.545156 , -6.5387367])"
197,"array([-5.46745799, -6.55767305])"
198,"array([-5.64332273, -6.54573059])"
199,"array([-5.64364439, -6.5714766 ])"
200,"array([-5.6776953 , -6.61187685])"
201,"array([-5.6785631 , -6.62896239])"
202,"array([-5.52947127, -6.5524956 ])"
203,"array([-5.61077481, -6.41202224])"
204,"array([-5.77953973, -6.51766505])"
205,"array([-5.67606816, -6.52265667])"
206,"array([-5.67011156, -6.57789995])"
207,"array([-5.66825184, -6.57838317])"
208,"array([-5.60810839, -6.53784712])"
209,"array([-5.63742413, -6.50178201])"
210,"array([-5.64670625, -6.48950226])"
211,"array([-5.68565876, -6.65524602])"
212,"array([-5.66417756, -6.61898911])"
213,"array([-5.61639614, -6.55807527])"
214,"array([-5.50393713, -6.5409006 ])"
215,"array([-5.74819527, -6.69876342])"
216,"array([-5.71345255, -6.61950957])"
217,"array([-5.64177954, -6.64615687])"
218,"array([-5.6720692 , -6.55070785])"
219,"array([-5.67213906, -6.58201461])"
220,"array([-5.64796373, -6.59441242])"
221,"array([-5.58655418, -6.54493705])"
222,"array([-5.66484457, -6.57446003])"
223,"array([-5.71563079, -6.62725416])"
224,"array([-5.6251833 , -6.65032916])"
225,"array([-5.66538191, -6.55365967])"
226,"array([-5.62366897, -6.52605018])"
227,"array([-5.64724888, -6.48004627])"
228,"array([-5.62023467, -6.51253267])"
229,"array([-5.69505347, -6.65087275])"
230,"array([-5.67872872, -6.57916699])"
231,"array([-5.5931685 , -6.57888126])"
232,"array([-5.5796097, -6.4906367])"
233,"array([-5.67313315, -6.62702803])"
234,"array([-5.68535048, -6.60584246])"
235,"array([-5.63292046, -6.51860725])"
236,"array([-5.596762  , -6.49129923])"
237,"array([-5.70254001, -6.51070493])"
238,"array([-5.67171034, -6.53681635])"
239,"array([-5.66511957, -6.41970272])"
240,"array([-5.69890614, -6.50296522])"
241,"array([-5.76053711, -6.66031493])"
242,"array([-5.71331177, -6.6151446 ])"
243,"array([-5.69583965, -6.5809121 ])"
244,"array([-5.71835808, -6.52441992])"
245,"array([-5.639913  , -6.42135966])"
246,"array([-5.71154055, -6.52145848])"
247,"array([-5.6726558 , -6.60245538])"
248,"array([-5.71854905, -6.6150764 ])"
249,"array([-5.62999085, -6.47448168])"
250,"array([-5.59275214, -6.50019044])"
251,"array([-5.51105533, -6.33971588])"
252,"array([-5.63248554, -6.42691498])"
253,"array([-5.45421984, -6.48241557])"
254,"array([-5.51573681, -6.54703039])"
255,"array([-5.67308548, -6.53611849])"
256,"array([-5.71587046, -6.53558317])"
257,"array([-5.6365394, -6.5785436])"
258,"array([-5.73565707, -6.55495175])"
259,"array([-5.73099708, -6.485855  ])"
260,"array([-5.67857896, -6.53927836])"
261,"array([-5.72900546, -6.61126923])"
262,"array([-5.70030522, -6.62137905])"
263,"array([-5.642802  , -6.53032623])"
264,"array([-5.70617857, -6.59293739])"
265,"array([-5.66649723, -6.6035294 ])"
266,"array([-5.72394245, -6.59795372])"
267,"array([-5.68972361, -6.59171929])"
268,"array([-5.7532199 , -6.65372236])"
269,"array([-5.59759977, -6.56052704])"
270,"array([-5.49796578, -6.54507228])"
271,"array([-5.58414375, -6.55944067])"
272,"array([-5.60978878, -6.54664124])"
273,"array([-5.64503412, -6.62834178])"
274,"array([-5.66364204, -6.59032468])"
275,"array([-5.77793374, -6.56775722])"
276,"array([-5.68151424, -6.59322401])"
277,"array([-5.54550545, -6.44913206])"
278,"array([-5.59443588, -6.49961919])"
279,"array([-5.79623427, -6.5728208 ])"
280,"array([-5.67007277, -6.59504294])"
281,"array([-5.72681983, -6.52078687])"
282,"array([-5.6943235 , -6.57045388])"
283,"array([-5.64166562, -6.52144299])"
284,"array([-5.63502205, -6.58171944])"
285,"array([-5.61186514, -6.62198839])"
286,"array([-5.67779808, -6.54377095])"
287,"array([-5.64502008, -6.57123103])"
288,"array([-5.6845695 , -6.53957015])"
289,"array([-5.62737313, -6.60501208])"
290,"array([-5.6470086 , -6.62519883])"
291,"array([-5.6549051 , -6.57523459])"
292,"array([-5.61858702, -6.51100053])"
293,"array([-5.75354206, -6.54591241])"
294,"array([-5.66238166, -6.59379872])"
295,"array([-5.70201055, -6.58122186])"
296,"array([-5.61208982, -6.55089174])"
297,"array([-5.6362836 , -6.68963498])"
298,"array([-5.65325648, -6.64844587])"
299,"array([-5.60363838, -6.52142697])"
300,"array([-5.65326486, -6.46334052])"
301,"array([-5.51990902, -6.55363924])"
302,"array([-5.6573071 , -6.49382819])"
303,"array([-5.68348853, -6.62264393])"
304,"array([-5.71704569, -6.65158096])"
305,"array([-5.70176097, -6.67901885])"
306,"array([-5.60164674, -6.5368673 ])"
307,"array([-5.55250221, -6.48925989])"
308,"array([-5.62885256, -6.55249962])"
309,"array([-5.61730199, -6.5830155 ])"
310,"array([-5.61949207, -6.51174806])"
311,"array([-5.60611338, -6.45367816])"
312,"array([-5.3524128 , -6.61671885])"
313,"array([-5.55156658, -6.6338698 ])"
314,"array([-5.56003684, -6.49898356])"
315,"array([-5.57628922, -6.57833981])"
316,"array([-5.79922   , -6.61787848])"
317,"array([-5.74235254, -6.5803212 ])"
318,"array([-5.64665186, -6.54574884])"
319,"array([-5.67782584, -6.64392679])"
320,"array([-5.66047049, -6.43208924])"
321,"array([-5.63687423, -6.51162793])"
322,"array([-5.62390761, -6.53557244])"
323,"array([-5.60001551, -6.51716047])"
324,"array([-5.56714648, -6.53114563])"
325,"array([-5.55219814, -6.56150288])"
326,"array([-5.70652689, -6.74190085])"
327,"array([-5.68316054, -6.66761943])"
328,"array([-5.59825281, -6.57682739])"
329,"array([-5.57889321, -6.58802209])"
330,"array([-5.53413511, -6.56078218])"
331,"array([-5.50608723, -6.54174818])"
332,"array([-5.62084642, -6.55186471])"
333,"array([-5.58268201, -6.58491815])"
334,"array([-5.57851424, -6.42597079])"
335,"array([-5.59303794, -6.53342128])"
336,"array([-5.5846648 , -6.54771695])"
337,"array([-5.65727477, -6.51568101])"
338,"array([-5.66198896, -6.53880042])"
339,"array([-5.67544073, -6.59191209])"
340,"array([-5.59631054, -6.40458629])"
341,"array([-5.58542875, -6.51210007])"
342,"array([-5.64700881, -6.6230747 ])"
343,"array([-5.68045851, -6.60621887])"
344,"array([-5.54701414, -6.51705026])"
345,"array([-5.52055647, -6.50723483])"
346,"array([-5.5979552 , -6.54898485])"
347,"array([-5.68201882, -6.62090728])"
348,"array([-5.69483038, -6.55211087])"
349,"array([-5.71014025, -6.54693717])"
350,"array([-5.70954197, -6.62707492])"
351,"array([-5.69538157, -6.54903735])"
352,"array([-5.59697317, -6.51577938])"
353,"array([-5.66571366, -6.57963258])"
354,"array([-5.65971167, -6.61211014])"
355,"array([-5.58310439, -6.57306273])"
356,"array([-5.45513776, -6.53015636])"
357,"array([-5.52624215, -6.55046336])"
358,"array([-5.60539849, -6.50012931])"
359,"array([-5.6028352 , -6.51605924])"
360,"array([-5.59707867, -6.55010897])"
361,"array([-5.69181254, -6.59609175])"
362,"array([-5.68223676, -6.54229589])"
363,"array([-5.44319334, -6.51188583])"
364,"array([-5.50089063, -6.55691872])"
365,"array([-5.72747126, -6.64581861])"
366,"array([-5.68491629, -6.61430435])"
367,"array([-5.548108  , -6.44239774])"
368,"array([-5.50895699, -6.51647737])"
369,"array([-5.76665492, -6.53786208])"
370,"array([-5.68889846, -6.54491226])"
371,"array([-5.65879276, -6.57662666])"
372,"array([-5.60679106, -6.5911046 ])"
373,"array([-5.65009618, -6.6343387 ])"
374,"array([-5.68644094, -6.65411921])"
375,"array([-5.5415191 , -6.54768698])"
376,"array([-5.47529341, -6.5788939 ])"
377,"array([-5.61375317, -6.60711894])"
378,"array([-5.59020578, -6.52259718])"
379,"array([-5.67999679, -6.53580843])"
380,"array([-5.61507413, -6.61761114])"
381,"array([-5.6318755 , -6.52635876])"
382,"array([-5.63676273, -6.44218507])"
383,"array([-5.62944158, -6.53596637])"
384,"array([-5.59084709, -6.46860082])"
385,"array([-5.71016338, -6.50060827])"
386,"array([-5.63299336, -6.50587491])"
387,"array([-5.67244828, -6.54773645])"
388,"array([-5.67903869, -6.54941926])"
389,"array([-5.56101569, -6.52895131])"
390,"array([-5.51305226, -6.54577856])"
391,"array([-5.56654494, -6.43873551])"
392,"array([-5.61507219, -6.49511218])"
393,"array([-5.64036585, -6.54292105])"
394,"array([-5.57278634, -6.47093204])"
395,"array([-5.718416  , -6.51417849])"
396,"array([-5.68988692, -6.49646671])"
397,"array([-5.56996464, -6.5474231 ])"
398,"array([-5.52829137, -6.50684293])"
399,"array([-5.71188137, -6.65446421])"
400,"array([-5.67581439, -6.65107361])"
401,"array([-5.75933883, -6.67388773])"
402,"array([-5.67300812, -6.62032873])"
403,"array([-5.64387551, -6.60673748])"
404,"array([-5.6726212 , -6.55320237])"
405,"array([-5.67046791, -6.6111423 ])"
406,"array([-5.65217478, -6.6105869 ])"
407,"array([-5.56850577, -6.52133396])"
408,"array([-5.65500534, -6.54635468])"
409,"array([-5.5553303 , -6.52485434])"
410,"array([-5.66800705, -6.57687582])"
411,"array([-5.62273704, -6.61217262])"
412,"array([-5.68313589, -6.56988447])"
413,"array([-5.69949974, -6.61973963])"
414,"array([-5.68965334, -6.62313041])"
415,"array([-5.60358287, -6.53529943])"
416,"array([-5.62632574, -6.61904121])"
417,"array([-5.5349525 , -6.53790523])"
418,"array([-5.56674568, -6.49485265])"
419,"array([-5.60910214, -6.63323368])"
420,"array([-5.61954637, -6.66588059])"
421,"array([-5.60451302, -6.51344652])"
422,"array([-5.7381661 , -6.55644396])"
423,"array([-5.60037683, -6.61141179])"
424,"array([-5.70402059, -6.63489845])"
425,"array([-5.61058955, -6.61379726])"
426,"array([-5.62792723, -6.55157574])"
427,"array([-5.62560948, -6.55379217])"
428,"array([-5.655501  , -6.68067171])"
429,"array([-5.68015523, -6.56684819])"
430,"array([-5.69160796, -6.56470285])"
431,"array([-5.61760428, -6.54011714])"
432,"array([-5.66987994, -6.54589576])"
433,"array([-5.53610365, -6.52404852])"
434,"array([-5.56780379, -6.58775996])"
435,"array([-5.6281864 , -6.53337666])"
436,"array([-5.63812707, -6.5098665 ])"
437,"array([-5.63571547, -6.45700078])"
438,"array([-5.6358205 , -6.59412293])"
439,"array([-5.67570089, -6.64258841])"
440,"array([-5.66447045, -6.60461628])"
441,"array([-5.66171865, -6.6110307 ])"
442,"array([-5.67363578, -6.59256956])"
443,"array([-5.63813902, -6.54982057])"
444,"array([-5.58694852, -6.50692488])"
445,"array([-5.67669581, -6.63150826])"
446,"array([-5.64529776, -6.59795457])"
447,"array([-5.59035246, -6.58140808])"
448,"array([-5.49649909, -6.55506219])"
449,"array([-5.76413937, -6.73798606])"
450,"array([-5.68453319, -6.60148589])"
451,"array([-5.48541913, -6.5118644 ])"
452,"array([-5.44854215, -6.50562259])"
453,"array([-5.62506758, -6.62370924])"
454,"array([-5.64310462, -6.66291303])"
455,"array([-5.64579806, -6.59088573])"
456,"array([-5.62844499, -6.50108226])"
457,"array([-5.6786825 , -6.56597171])"
458,"array([-5.77347746, -6.56845322])"
459,"array([-5.49463843, -6.54917225])"
460,"array([-5.47263277, -6.54978141])"
461,"array([-5.55396798, -6.55279511])"
462,"array([-5.50153124, -6.58079343])"
463,"array([-5.63374295, -6.53676072])"
464,"array([-5.57406729, -6.49392935])"
465,"array([-5.71133248, -6.64907614])"
466,"array([-5.69060984, -6.62218116])"
467,"array([-5.62154825, -6.42987546])"
468,"array([-5.65119514, -6.51454227])"
469,"array([-5.60195341, -6.5663177 ])"
470,"array([-5.58402614, -6.49641542])"
471,"array([-5.48413206, -6.39808313])"
472,"array([-5.61342094, -6.51433653])"
473,"array([-5.46840633, -6.52291757])"
474,"array([-5.60455304, -6.51939141])"
475,"array([-5.60741089, -6.47691369])"
476,"array([-5.62767492, -6.53257776])"
477,"array([-5.65583707, -6.52555715])"
478,"array([-5.66296897, -6.59499304])"
479,"array([-5.65363555, -6.61209796])"
480,"array([-5.75108185, -6.54695404])"
481,"array([-5.69145768, -6.52893802])"
482,"array([-5.62884992, -6.56620137])"
483,"array([-5.58997425, -6.56211795])"
484,"array([-5.4486531 , -6.53122632])"
485,"array([-5.60987268, -6.56720184])"
486,"array([-5.67041345, -6.64987328])"
487,"array([-5.69198795, -6.57982978])"
488,"array([-5.62630889, -6.58930371])"
489,"array([-5.60187588, -6.39717874])"
490,"array([-5.59770944, -6.4911707 ])"
491,"array([-5.73715473, -6.63750473])"
492,"array([-5.58497996, -6.54507881])"
493,"array([-5.68551856, -6.52479043])"
494,"array([-5.5989693 , -6.63886779])"
495,"array([-5.66398506, -6.60906876])"
496,"array([-5.63330353, -6.4084858 ])"
497,"array([-5.53771527, -6.41540216])"
498,"array([-5.99126082, -6.5498775 ])"
499,"array([-5.73679258, -6.58323092])"
500,"array([-5.67945436, -6.49324239])"
501,"array([-5.64219986, -6.51220904])"
502,"array([-5.53157732, -6.5227624 ])"
503,"array([-5.69239832, -6.60165294])"
504,"array([-5.56759629, -6.54561573])"
505,"array([-5.62305838, -6.58396437])"
506,"array([-5.67451439, -6.51485528])"
507,"array([-5.63916484, -6.50821204])"
508,"array([-5.5330027, -6.4604129])"
509,"array([-5.53019253, -6.46997226])"
510,"array([-5.71599165, -6.59967588])"
511,"array([-5.65733746, -6.54812509])"
512,"array([-5.69294239, -6.60922879])"
513,"array([-5.65467003, -6.65754575])"
514,"array([-5.65120916, -6.48042022])"
515,"array([-5.6518508 , -6.53334737])"
516,"array([-5.6190644 , -6.61411422])"
517,"array([-5.68406416, -6.58590615])"
518,"array([-5.70703225, -6.56935643])"
519,"array([-5.79780677, -6.68028128])"
520,"array([-5.68177658, -6.64628362])"
521,"array([-5.65949502, -6.62443498])"
522,"array([-5.74770577, -6.60945754])"
523,"array([-5.64238728, -6.5659626 ])"
524,"array([-5.67022636, -6.57103506])"
525,"array([-5.70832286, -6.44226012])"
526,"array([-5.65346574, -6.51615167])"
527,"array([-5.7056724 , -6.60990642])"
528,"array([-5.72617693, -6.58725522])"
529,"array([-5.76251193, -6.57612739])"
530,"array([-5.72389026, -6.59377003])"
531,"array([-5.76987716, -6.62223502])"
532,"array([-5.63753004, -6.60511114])"
533,"array([-5.66411748, -6.53546649])"
534,"array([-5.68785389, -6.6388714 ])"
535,"array([-5.61992214, -6.53959318])"
536,"array([-5.60538112, -6.45266591])"
537,"array([-5.6235368 , -6.63148951])"
538,"array([-5.72422749, -6.61895892])"
539,"array([-5.68034339, -6.57623188])"
540,"array([-5.69199798, -6.57867464])"
541,"array([-5.59261041, -6.62506245])"
542,"array([-5.70765946, -6.60637876])"
543,"array([-5.58831842, -6.59141464])"
544,"array([-5.49140528, -6.50781165])"
545,"array([-5.65080944, -6.53769143])"
546,"array([-5.7055091, -6.60425  ])"
547,"array([-5.58136345, -6.51303272])"
548,"array([-5.51099001, -6.51758935])"
549,"array([-5.65103988, -6.53345741])"
550,"array([-5.65385263, -6.50274856])"
551,"array([-5.58332319, -6.55242733])"
552,"array([-5.60230691, -6.60234433])"
553,"array([-5.68991173, -6.41163139])"
554,"array([-5.66310158, -6.49936758])"
555,"array([-5.55685356, -6.47753126])"
556,"array([-5.53337882, -6.42388346])"
557,"array([-5.5716722 , -6.53481108])"
558,"array([-5.55753973, -6.50721537])"
559,"array([-5.6896325 , -6.49756954])"
560,"array([-5.65966731, -6.51268879])"
561,"array([-5.62597221, -6.66289101])"
562,"array([-5.61982601, -6.64366702])"
563,"array([-5.6811876 , -6.59986927])"
564,"array([-5.62454713, -6.56353846])"
565,"array([-5.51604237, -6.50955697])"
566,"array([-5.60456126, -6.59277187])"
567,"array([-5.68054091, -6.57918902])"
568,"array([-5.63506349, -6.55040715])"
569,"array([-5.63519789, -6.53020335])"
570,"array([-5.63921654, -6.62769647])"
571,"array([-5.68029253, -6.58878605])"
572,"array([-5.65862068, -6.56662958])"
573,"array([-5.64631058, -6.53700171])"
574,"array([-5.73278489, -6.62827425])"
575,"array([-5.70737496, -6.67414519])"
576,"array([-5.62673394, -6.53954032])"
577,"array([-5.67186073, -6.61711093])"
578,"array([-5.59193017, -6.54110182])"
579,"array([-5.57594018, -6.47426203])"
580,"array([-5.63096216, -6.52007667])"
581,"array([-5.63878634, -6.64340827])"
582,"array([-6.00992574, -6.5597668 ])"
583,"array([-5.57765917, -6.51022569])"
584,"array([-5.63149568, -6.50360058])"
585,"array([-5.80068138, -6.73680137])"
586,"array([-5.67499822, -6.63370203])"
587,"array([-5.61817248, -6.62144679])"
588,"array([-5.66298522, -6.61122974])"
589,"array([-5.614978  , -6.62913082])"
590,"array([-5.7042911 , -6.53076426])"
591,"array([-5.67087744, -6.53869265])"
592,"array([-5.60741392, -6.47437368])"
593,"array([-5.55082474, -6.50816984])"
594,"array([-5.60576595, -6.52251133])"
595,"array([-5.60289355, -6.498236  ])"
596,"array([-5.59976309, -6.58369492])"
597,"array([-5.66899287, -6.53302066])"
598,"array([-5.69150228, -6.48802893])"
599,"array([-5.65717983, -6.51325669])"
600,"array([-5.54600317, -6.54244544])"
601,"array([-5.64396268, -6.5489267 ])"
602,"array([-5.68354565, -6.46256909])"
603,"array([-5.66084566, -6.5806771 ])"
604,"array([-5.64425491, -6.55907466])"
605,"array([-5.63161209, -6.47061686])"
606,"array([-5.75249018, -6.65670499])"
607,"array([-5.69563153, -6.63685845])"
608,"array([-5.62614975, -6.66783823])"
609,"array([-5.6965828 , -6.60738879])"
610,"array([-5.67149484, -6.62293629])"
611,"array([-5.67390589, -6.63797478])"
612,"array([-5.67239183, -6.64361061])"
613,"array([-5.70013518, -6.72592115])"
614,"array([-5.72565934, -6.71010453])"
615,"array([-5.69649837, -6.64208686])"
616,"array([-5.62680802, -6.63199715])"
617,"array([-5.71834197, -6.59537411])"
618,"array([-5.63049267, -6.58737014])"
619,"array([-5.6319512 , -6.49233699])"
620,"array([-5.61785953, -6.58174138])"
621,"array([-5.68437502, -6.56000434])"
622,"array([-5.62857461, -6.64084067])"
623,"array([-5.65360518, -6.51912808])"
624,"array([-5.67298831, -6.55535285])"
625,"array([-5.7276347 , -6.56706259])"
626,"array([-5.63955668, -6.51933079])"
627,"array([-5.64420791, -6.48799586])"
628,"array([-5.6068772 , -6.57345627])"
629,"array([-5.59765297, -6.60376318])"
630,"array([-5.61212141, -6.55304097])"
631,"array([-5.61825049, -6.56158831])"
632,"array([-5.6554826 , -6.50819497])"
633,"array([-5.65011862, -6.50557528])"
634,"array([-5.57001668, -6.54484146])"
635,"array([-5.53691666, -6.47521299])"
636,"array([-5.67982925, -6.41533524])"
637,"array([-5.65528598, -6.57274928])"
638,"array([-5.80101699, -6.52846939])"
639,"array([-5.62669076, -6.55509766])"
640,"array([-5.49032655, -6.53561433])"
641,"array([-5.48428704, -6.5390569 ])"
642,"array([-5.70681803, -6.56659489])"
643,"array([-5.64244884, -6.43059218])"
644,"array([-5.64621098, -6.51806715])"
645,"array([-5.64424097, -6.60221205])"
646,"array([-5.67522727, -6.55966645])"
647,"array([-5.45791012, -6.47335147])"
648,"array([-5.51760466, -6.53251767])"
649,"array([-5.64025867, -6.53037736])"
650,"array([-5.60850114, -6.52606085])"
651,"array([-5.6267226 , -6.61056148])"
652,"array([-5.66563304, -6.52741713])"
653,"array([-5.5814787 , -6.57158332])"
654,"array([-5.52966231, -6.52553289])"
655,"array([-5.68310913, -6.58942241])"
656,"array([-5.63397448, -6.58460297])"
657,"array([-5.69012642, -6.54524765])"
